,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,in_playlist,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.929,https://api.spotify.com/v1/audio-analysis/2IFfBCtXAHw94JLEu77eRf,Rocky Votolato,0.516,138760,0.0663,2IFfBCtXAHw94JLEu77eRf,0,0.000972,7,0.112,-19.221,0,Cut Me In Two,11,0.0334,109.879,4,https://api.spotify.com/v1/tracks/2IFfBCtXAHw94JLEu77eRf,audio_features,spotify:track:2IFfBCtXAHw94JLEu77eRf,0.278
1,0.539,https://api.spotify.com/v1/audio-analysis/1YQWosTIljIvxAgHWTp7KP,The Dave Brubeck Quartet,0.454,324133,0.26,1YQWosTIljIvxAgHWTp7KP,0,0.0007800000000000001,8,0.0675,-13.193,0,Take Five,63,0.040100000000000004,174.322,5,https://api.spotify.com/v1/tracks/1YQWosTIljIvxAgHWTp7KP,audio_features,spotify:track:1YQWosTIljIvxAgHWTp7KP,0.598
2,0.36,https://api.spotify.com/v1/audio-analysis/6MN6yRVriszuyAVlyF8ndB,Galt MacDermot,0.676,205773,0.44,6MN6yRVriszuyAVlyF8ndB,0,6.88e-05,0,0.162,-11.96,1,Coffee Cold,59,0.0291,80.434,4,https://api.spotify.com/v1/tracks/6MN6yRVriszuyAVlyF8ndB,audio_features,spotify:track:6MN6yRVriszuyAVlyF8ndB,0.499
3,0.984,https://api.spotify.com/v1/audio-analysis/1HEGcv63IZ7TPncpVKdVdN,John Coltrane,0.466,294307,0.0718,1HEGcv63IZ7TPncpVKdVdN,0,0.000931,0,0.107,-17.999,1,My One And Only Love,56,0.0374,121.885,4,https://api.spotify.com/v1/tracks/1HEGcv63IZ7TPncpVKdVdN,audio_features,spotify:track:1HEGcv63IZ7TPncpVKdVdN,0.196
4,0.779,https://api.spotify.com/v1/audio-analysis/2iUrcZcAuVIahQD0dg9HLe,Chet Baker,0.496,423573,0.634,2iUrcZcAuVIahQD0dg9HLe,0,0.402,5,0.0746,-10.328,0,Autumn Leaves,60,0.0364,93.357,4,https://api.spotify.com/v1/tracks/2iUrcZcAuVIahQD0dg9HLe,audio_features,spotify:track:2iUrcZcAuVIahQD0dg9HLe,0.606
5,0.804,https://api.spotify.com/v1/audio-analysis/4Vkk3iD1VrENHJEACNddvt,Art Blakey,0.612,570720,0.493,4Vkk3iD1VrENHJEACNddvt,0,0.266,5,0.202,-8.589,0,Moanin',57,0.046700000000000005,126.358,4,https://api.spotify.com/v1/tracks/4Vkk3iD1VrENHJEACNddvt,audio_features,spotify:track:4Vkk3iD1VrENHJEACNddvt,0.484
6,0.936,https://api.spotify.com/v1/audio-analysis/0PrGgNDwfJPNXADJYROvBw,Duke Ellington,0.464,255227,0.305,0PrGgNDwfJPNXADJYROvBw,0,0.08460000000000001,3,0.20800000000000002,-12.435,0,In A Sentimental Mood,19,0.0316,108.231,4,https://api.spotify.com/v1/tracks/0PrGgNDwfJPNXADJYROvBw,audio_features,spotify:track:0PrGgNDwfJPNXADJYROvBw,0.28200000000000003
7,0.794,https://api.spotify.com/v1/audio-analysis/2BhU0Hl5OatWiCW93pE2b8,Hank Mobley,0.539,342333,0.403,2BhU0Hl5OatWiCW93pE2b8,0,0.0006129999999999999,8,0.278,-9.168,1,Remember - Remastered,56,0.0531,165.301,4,https://api.spotify.com/v1/tracks/2BhU0Hl5OatWiCW93pE2b8,audio_features,spotify:track:2BhU0Hl5OatWiCW93pE2b8,0.6990000000000001
8,0.532,https://api.spotify.com/v1/audio-analysis/0DXb75jBHund71iIpnBBZv,Dizzy Gillespie,0.662,340960,0.331,0DXb75jBHund71iIpnBBZv,0,0.000125,0,0.253,-12.712,1,On The Sunny Side Of The Street,14,0.058100000000000006,120.228,4,https://api.spotify.com/v1/tracks/0DXb75jBHund71iIpnBBZv,audio_features,spotify:track:0DXb75jBHund71iIpnBBZv,0.40800000000000003
9,0.81,https://api.spotify.com/v1/audio-analysis/0aWMVrwxPNYkKmFthzmpRi,Miles Davis,0.421,337733,0.0161,0aWMVrwxPNYkKmFthzmpRi,0,0.0021000000000000003,2,0.0978,-25.358,0,Blue in Green,65,0.0374,110.926,4,https://api.spotify.com/v1/tracks/0aWMVrwxPNYkKmFthzmpRi,audio_features,spotify:track:0aWMVrwxPNYkKmFthzmpRi,0.16
