"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.516","0.0663","7","-19.221","0","0.0334","0.929","0.000972","0.112","0.278","109.879","audio_features","2IFfBCtXAHw94JLEu77eRf","spotify:track:2IFfBCtXAHw94JLEu77eRf","https://api.spotify.com/v1/tracks/2IFfBCtXAHw94JLEu77eRf","https://api.spotify.com/v1/audio-analysis/2IFfBCtXAHw94JLEu77eRf","138760","4","Cut Me In Two","11","Rocky Votolato","0"
"0.454","0.26","8","-13.193","0","0.0401","0.539","0.00078","0.0675","0.598","174.322","audio_features","1YQWosTIljIvxAgHWTp7KP","spotify:track:1YQWosTIljIvxAgHWTp7KP","https://api.spotify.com/v1/tracks/1YQWosTIljIvxAgHWTp7KP","https://api.spotify.com/v1/audio-analysis/1YQWosTIljIvxAgHWTp7KP","324133","5","Take Five","63","The Dave Brubeck Quartet","0"
"0.676","0.44","0","-11.96","1","0.0291","0.36","6.88E-05","0.162","0.499","80.434","audio_features","6MN6yRVriszuyAVlyF8ndB","spotify:track:6MN6yRVriszuyAVlyF8ndB","https://api.spotify.com/v1/tracks/6MN6yRVriszuyAVlyF8ndB","https://api.spotify.com/v1/audio-analysis/6MN6yRVriszuyAVlyF8ndB","205773","4","Coffee Cold","59","Galt MacDermot","0"
"0.466","0.0718","0","-17.999","1","0.0374","0.984","0.000931","0.107","0.196","121.885","audio_features","1HEGcv63IZ7TPncpVKdVdN","spotify:track:1HEGcv63IZ7TPncpVKdVdN","https://api.spotify.com/v1/tracks/1HEGcv63IZ7TPncpVKdVdN","https://api.spotify.com/v1/audio-analysis/1HEGcv63IZ7TPncpVKdVdN","294307","4","My One And Only Love","56","John Coltrane","0"
"0.496","0.634","5","-10.328","0","0.0364","0.779","0.402","0.0746","0.606","93.357","audio_features","2iUrcZcAuVIahQD0dg9HLe","spotify:track:2iUrcZcAuVIahQD0dg9HLe","https://api.spotify.com/v1/tracks/2iUrcZcAuVIahQD0dg9HLe","https://api.spotify.com/v1/audio-analysis/2iUrcZcAuVIahQD0dg9HLe","423573","4","Autumn Leaves","60","Chet Baker","0"
"0.612","0.493","5","-8.589","0","0.0467","0.804","0.266","0.202","0.484","126.358","audio_features","4Vkk3iD1VrENHJEACNddvt","spotify:track:4Vkk3iD1VrENHJEACNddvt","https://api.spotify.com/v1/tracks/4Vkk3iD1VrENHJEACNddvt","https://api.spotify.com/v1/audio-analysis/4Vkk3iD1VrENHJEACNddvt","570720","4","Moanin'","57","Art Blakey","0"
"0.464","0.305","3","-12.435","0","0.0316","0.936","0.0846","0.208","0.282","108.231","audio_features","0PrGgNDwfJPNXADJYROvBw","spotify:track:0PrGgNDwfJPNXADJYROvBw","https://api.spotify.com/v1/tracks/0PrGgNDwfJPNXADJYROvBw","https://api.spotify.com/v1/audio-analysis/0PrGgNDwfJPNXADJYROvBw","255227","4","In A Sentimental Mood","19","Duke Ellington","0"
"0.539","0.403","8","-9.168","1","0.0531","0.794","0.000613","0.278","0.699","165.301","audio_features","2BhU0Hl5OatWiCW93pE2b8","spotify:track:2BhU0Hl5OatWiCW93pE2b8","https://api.spotify.com/v1/tracks/2BhU0Hl5OatWiCW93pE2b8","https://api.spotify.com/v1/audio-analysis/2BhU0Hl5OatWiCW93pE2b8","342333","4","Remember - Remastered","56","Hank Mobley","0"
"0.662","0.331","0","-12.712","1","0.0581","0.532","0.000125","0.253","0.408","120.228","audio_features","0DXb75jBHund71iIpnBBZv","spotify:track:0DXb75jBHund71iIpnBBZv","https://api.spotify.com/v1/tracks/0DXb75jBHund71iIpnBBZv","https://api.spotify.com/v1/audio-analysis/0DXb75jBHund71iIpnBBZv","340960","4","On The Sunny Side Of The Street","14","Dizzy Gillespie","0"
"0.421","0.0161","2","-25.358","0","0.0374","0.81","0.0021","0.0978","0.16","110.926","audio_features","0aWMVrwxPNYkKmFthzmpRi","spotify:track:0aWMVrwxPNYkKmFthzmpRi","https://api.spotify.com/v1/tracks/0aWMVrwxPNYkKmFthzmpRi","https://api.spotify.com/v1/audio-analysis/0aWMVrwxPNYkKmFthzmpRi","337733","4","Blue in Green","65","Miles Davis","0"
